COMUNA,TIPO_DELITO,DIA_SEMANA,BLOQUE_HORARIO,NIVEL_RIESGO,CONFIANZA_PREDICCION,PROBABILIDAD_ALTO,PROBABILIDAD_MEDIO,PROBABILIDAD_BAJO,DELITOS_HISTORICOS
Comuna Cabecera del Llano,HOMICIDIOS,martes,TARDE,ALTO,0.4770110020846605,0.4770110020846605,0.23802310376511676,0.28496589415022267,0.0
Comuna Cabecera del Llano,HOMICIDIOS,martes,NOCHE,BAJO,0.9259136229491023,0.002328474000398581,0.07175790305049905,0.9259136229491023,3.0
Comuna Cabecera del Llano,HOMICIDIOS,miércoles,MADRUGADA,ALTO,0.3752754163086232,0.3752754163086232,0.2813885458641958,0.3433360378271811,0.0
Comuna Cabecera del Llano,HOMICIDIOS,miércoles,MAÑANA,BAJO,0.9350949599274295,0.0,0.0649050400725705,0.9350949599274295,1.0
Comuna Cabecera del Llano,HOMICIDIOS,miércoles,TARDE,ALTO,0.48502432282836394,0.48502432282836394,0.255855416200665,0.25912026097097096,0.0
Comuna Cabecera del Llano,HOMICIDIOS,miércoles,NOCHE,ALTO,0.494891696798236,0.494891696798236,0.2631964831006563,0.2419118201011075,0.0
Comuna Cabecera del Llano,HOMICIDIOS,jueves,MADRUGADA,BAJO,0.9209957469289703,0.0,0.07900425307102953,0.9209957469289703,1.0
Comuna Cabecera del Llano,HOMICIDIOS,jueves,MAÑANA,BAJO,0.963983102972622,0.0008472104025085334,0.03516968662486931,0.963983102972622,1.0
Comuna Cabecera del Llano,HOMICIDIOS,jueves,TARDE,BAJO,0.9562479573469913,0.0,0.04375204265300844,0.9562479573469913,1.0
Comuna Cabecera del Llano,HOMICIDIOS,jueves,NOCHE,BAJO,0.8660104718588063,0.0008334952652281787,0.13315603287596556,0.8660104718588063,3.0
Comuna Cabecera del Llano,HOMICIDIOS,viernes,MADRUGADA,BAJO,0.933001103082418,0.0,0.06699889691758192,0.933001103082418,1.0
Comuna Cabecera del Llano,HOMICIDIOS,viernes,MAÑANA,BAJO,0.9255902802758617,0.0010495070571946105,0.07336021266694363,0.9255902802758617,2.0
Comuna Cabecera del Llano,HOMICIDIOS,viernes,TARDE,BAJO,0.9321754847561056,0.0,0.06782451524389424,0.9321754847561056,1.0
Comuna Cabecera del Llano,HOMICIDIOS,viernes,NOCHE,BAJO,0.8226030523241883,0.006234141807574884,0.17116280586823676,0.8226030523241883,2.0
Comuna Cabecera del Llano,HOMICIDIOS,sábado,MADRUGADA,BAJO,0.9387982593070396,0.0,0.06120174069296037,0.9387982593070396,2.0
Comuna Cabecera del Llano,HOMICIDIOS,sábado,MAÑANA,BAJO,0.9281517810852397,0.0,0.07184821891476048,0.9281517810852397,2.0
Comuna Cabecera del Llano,HOMICIDIOS,sábado,TARDE,BAJO,0.9122080220922426,0.0026170972871099323,0.08517488062064746,0.9122080220922426,1.0
Comuna Cabecera del Llano,HOMICIDIOS,sábado,NOCHE,BAJO,0.7693948048051092,0.016661034371979827,0.21394416082291084,0.7693948048051092,4.0
Comuna Cabecera del Llano,HOMICIDIOS,domingo,MADRUGADA,BAJO,0.8046555066459004,0.0,0.1953444933540996,0.8046555066459004,1.0
Comuna Cabecera del Llano,HOMICIDIOS,domingo,MAÑANA,BAJO,0.7742425178716047,0.0008472104025085334,0.22491027172588648,0.7742425178716047,2.0
Comuna Cabecera del Llano,HOMICIDIOS,domingo,TARDE,BAJO,0.755679322531773,0.0,0.24432067746822672,0.755679322531773,3.0
Comuna Cabecera del Llano,HOMICIDIOS,domingo,NOCHE,BAJO,0.7328582033938147,0.0008334952652281787,0.2663083013409569,0.7328582033938147,4.0
Comuna Cabecera del Llano,HURTOS,lunes,MADRUGADA,ALTO,0.9651094032667719,0.9651094032667719,0.03186025679345608,0.0030303399397721663,211.0
Comuna Cabecera del Llano,HURTOS,lunes,MAÑANA,ALTO,0.9773071877215255,0.9773071877215255,0.020991697077167543,0.0017011152013070507,428.0
Comuna Cabecera del Llano,HURTOS,lunes,TARDE,ALTO,0.9806288995868637,0.9806288995868637,0.012517854259746462,0.006853246153389864,368.0
Comuna Cabecera del Llano,HURTOS,lunes,NOCHE,ALTO,0.9758690700640084,0.9758690700640084,0.024130929935991627,0.0,327.0
Comuna Cabecera del Llano,HURTOS,martes,MADRUGADA,ALTO,0.9609028673960279,0.9609028673960279,0.03707020625129448,0.002026926352677703,167.0
Comuna Cabecera del Llano,HURTOS,martes,MAÑANA,ALTO,0.9756529652367253,0.9756529652367253,0.024347034763274645,0.0,469.0
